case_id,protein_id,ligand_id,ligand_ccd_code,model,msa_source,msa_path,status,error_message
41580b3a0956,C7R4I0,L002,STA6,af3,native,,pending,
34b2653176ab,C7R4I0,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
521e546078a1,C7R4I0,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
5e91a500217c,C7R4I0,L003,STA8,af3,native,,pending,
195228422157,C7R4I0,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
dd205446a9aa,C7R4I0,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
8936dcb51b86,C7R4I0,L004,CEL4,af3,native,,pending,
7d8c74acd1c7,C7R4I0,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
563efe93ef1f,C7R4I0,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
bafa1568cd3d,C7R4I0,L005,CEL6,af3,native,,pending,
b8461823aab1,C7R4I0,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
ad3fed44b982,C7R4I0,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
49351b73745e,C7R4I0,L006,CEL8,af3,native,,pending,
2227fa676450,C7R4I0,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
79ed818c8a8d,C7R4I0,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
c928f7ecaf9f,C7R4I0,L007,NAG4,af3,native,,pending,
44b9af6c14de,C7R4I0,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
ecb09f17c95f,C7R4I0,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
faa7f02c529c,C7R4I0,L008,NAG6,af3,native,,pending,
3a70c1290416,C7R4I0,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
f48fbfaf13cd,C7R4I0,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
ae582f9e29c9,C7R4I0,L009,NAG8,af3,native,,pending,
a0709f2310a6,C7R4I0,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
